15.52421582,0,0,0,0
15.35810315,0,0,0,0
15.19199046,0,0,0,0
15.02590479,0,0,0,0
14.8598059,0,0,0,0
14.69371808,0,0,0,0
14.67470887,0,0,0,0
14.36153074,0,0,0,0
14.19542374,0,0,0,0
14.02932612,0,0,0,0
13.86323096,0,0,0,0
13.69714389,0,0,0,0
13.53104772,0,0,0,0
13.36495127,0,0,0,0
13.19885843,0,0,0,0
13.03276164,0,0,0,0
12.86666417,0,0,0,0
12.70056345,0,0,0,0
12.53446728,0,0,0,0
12.3683723,0,0,0,0
12.20227515,0,0,0,0
12.03617869,0,0,0,0
11.87008234,0,0,0,0
11.70398608,0,0,0,0
11.5378896,0,0,0,0
11.37179305,0,0,0,0
11.20569673,0,0,0,0
11.03526352,0,0,0,0
10.86963805,0,0,0,0
10.70740756,0.0008,0.0007,0.0007,0.0004
10.54131114,0.06,0.05,0.05,0.03
10.37521474,0.15,0.14,0.13,0.08
10.20911834,0.21,0.2,0.18,0.11
10.04302226,0.25,0.23,0.21,0.13
9.87692559,0.26,0.23,0.21,0.13
9.710828706,0.24,0.22,0.2,0.13
9.544732301,0.24,0.22,0.2,0.13
9.378636314,0.24,0.22,0.2,0.13
9.212540039,0.27,0.25,0.23,0.15
9.046443439,0.31,0.29,0.26,0.18
8.880347051,0.36,0.34,0.31,0.21
8.714250596,0.42,0.4,0.36,0.24
8.548154249,0.49,0.46,0.42,0.28
8.382057982,0.56,0.52,0.47,0.32
8.215961507,0.63,0.6,0.53,0.35
8.049864953,0.72,0.68,0.6,0.39
7.883768638,0.81,0.76,0.66,0.42
7.71767227,0.9,0.84,0.73,0.45
7.551575807,0.99,0.93,0.8,0.49
7.385479461,1.09,1.02,0.87,0.52
7.219383046,1.19,1.1,0.93,0.55
7.053286648,1.28,1.19,1,0.59
6.887190247,1.38,1.27,1.07,0.63
6.721094164,1.47,1.35,1.13,0.67
6.554997495,1.57,1.43,1.2,0.71
6.388900611,1.67,1.52,1.27,0.76
6.222804206,1.78,1.61,1.34,0.81
6.05670822,1.89,1.71,1.42,0.87
5.890611944,2.02,1.82,1.51,0.93
5.724515345,2.17,1.96,1.62,1.01
5.558418956,2.36,2.12,1.75,1.1
5.392322501,2.58,2.33,1.93,1.23
5.226226154,2.84,2.57,2.15,1.39
5.060129887,3.13,2.87,2.41,1.6
4.894033412,3.46,3.2,2.74,1.88
4.727936858,3.82,3.58,3.13,2.24
4.561840543,4.18,3.99,3.56,2.69
4.395744175,4.47,4.34,3.97,3.18
4.229647712,4.7,4.65,4.37,3.71
4.063551366,4.84,4.88,4.71,4.25
3.897454951,4.88,5,4.98,4.78
3.731358554,4.8,5.01,5.15,5.26
3.565262152,4.61,4.9,5.2,5.65
3.399166069,4.31,4.65,5.13,5.92
3.2330694,3.92,4.3,4.93,6.04
3.066972516,3.45,3.83,4.59,5.97
2.900876111,2.92,3.28,4.13,5.69
2.734780125,2.43,2.75,3.63,5.27
2.56868385,1.97,2.26,3.11,4.72
2.40258725,1.56,1.8,2.58,4.1
2.236490861,1.19,1.4,2.06,3.42
2.070394406,0.87,1.05,1.56,2.73
1.904298059,0.58,0.75,1.1,2.06
1.738201792,0.34,0.5,0.69,1.43
1.572105317,0.15,0.28,0.35,0.87
1.406008763,0.002,0.12,0.02,0.43
1.239912448,0.00003,0.004,0.0005,0.01
1.07381608,0,0.0003,0.00003,0.0006
0.907719617,0,0,0,0
0.741623271,0,0,0,0
0.575970348,0,0,0,0
0.409825715,0,0,0,0
0.243334057,0,0,0,0
0.077237974,0,0,0,0
-0.088858695,0,0,0,0
-0.254955578,0,0,0,0
-0.421051984,0,0,0,0
-0.58714797,0,0,0,0
-0.753244245,0,0,0,0
-0.919340845,0,0,0,0
-1.085437234,0,0,0,0
-1.251533689,0,0,0,0
-1.417630036,0,0,0,0
-1.583726303,0,0,0,0
